answer,is_true
HBOHBSTLHBPQHBMHBGDMaOBGDMBEBMBCCPBCGBSBTMeOBCBPM,0
HBOHBSTLHBPQHBMHBGDMaOBGDMBEBMBCCPBCGBSBTMeOBCBPMR,0
HBOHBSTLHBPQHBMHBGDMaOBGDMBEBMBCCPBCGBSBTMeOBCBPMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
BODPBBONBPUeBONBPCBONBP,0
BBONBPUeBONBPCBONBP,0
BHBONBPUeBONBPCBONBP,0
HBONBPUeBONBPCBONBP,0
BBONBPUeBONBPCBONBP,0
BBOBLBPUeBOBPCB,0
HBOHBSTLHBPQHBGDMaOBGDMBEGBMBCCPQBGBCBSBTMReBR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEGBMBCCPQBGBCBSBTMReBR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEGBMBCCPQBGBCBSBTMReBR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEGBMBCCPQBGBCBSBTMReBR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEGBMBCCPQBGBCBSBTMReBR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOBGDMBEBMBCCDPQBGBCBSBTMRBOAGALBPMeBCBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCDPQBGBCBSBTMRBOAGALBPMeBCBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCDPQBGBCBSBTMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMRBOAGALBPMeBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMRBODLBPMeBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMRBODLBPMeBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBODPMaOHBODPMBEBMCCBPQBCGBSBTM,0
HBOHBSTLHBPQHBGfOBPCfOBSDTPMaOBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBSTLHBPQHBODPMaOHBODPMBEBMCCBPQBCGBSBTMeBCGBMR,0
HBOHBSTLHBPQHBODPMaOHBODPMBEBMCCBPQBCGBSBTMReBCGBMR,0
HBOHBSTLHBPQHBMaOHBODPMBEBMCCBPQBCGBSBTMReBCGBMR,0
HBOHBSTLHBPQHBGfOBPMaOBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBSTLHBPQHBMaOHBODPMBEBMCCBPQBCGBSBTMReBCGBMR,0
HBOHBSTLHBPQHBMaOHBGDMBEBMBCCPBGBSBTMHBGBCBMBODLBPMR,1
HBOHBSTLHBPQHBMaOHBODPMBEBMCCBPQBCGBSBTMReBCBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGfOBPCfOBSDTPMaOBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPBGBSBTMHBGBCBMBODLBPMR,1
HBOHBSTLHBPQHBGfOBPCfOBSDTPMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBMHBGDMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,1
HBOHBSTLHBPQHBMBOBPMaOHBODPMBEBMCCBPQBCGBSBTMReBCBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQaOBGDLBEGBLBCCPQBGBCBSTMReBCBMR,0
HBOHBSTLHBPQHBGDMaOBGDLBEGBLBCCPQBGBCBSTMReBCBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMHBGDMaOBGDLBEGBLBCCPQBGBCBSTMReBCBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPBGBSBTMeBCBMR,1
HBOHBSTLHBPQHBGDMHBGDMaOBGDMBEGBMBCCPQBGBCBSTMReBCBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEGBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDLBEBLBCCPQBGBCBSBTMRBGBCBeBR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMRBGBCBeBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,1
HBOHBSTLHBPQHBLBMBGfOBPCfOBSDTPMaOBGDMBEBMBCCPBCGBSBTMBGBCBMeBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,1
HBOHBSTLHBPQHBMBGfOBPCfOBSDTPMaOBGDMBEBMBCCPBCGBSBTMBGBCBMeBMR,0
HBOHBSTLHBPQHBMHBMBGfOBPCfOBSDTPMaOBGDMBEBMBCCPBCGBSBTMBGBCBMeBMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPBGBCBSBTMeBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPBGBCBSBTMeBCBMR,1
HBOHBSTLHBPQHBMHBMHBGfOBPCfOBSDTPMaOHBGDMBEBMBCCPBCGBSBTMBGBCBMeBMR,0
HBOHBSTLHBPQHBGDLBMHBGfOBPCfOBSDTPMaOHBGDMBEBMBCCPBCGBMBGBCBMeBMR,0
HBOHBSTLHBPQHBGDMHBGDMaOBGDMBEGBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMHBGDMaOBGDMBEGBMBCCPQBGBCBSBTMReBCBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBMaOHBGDMBEBMBCCPQBCGBSBTMReBMR,1
HBOHBSTLHBPQHBMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQR,1
HBOHBSTLHBPQHBMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQR,1
HBOHBSTLHBPQHBGSTMR,0
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBCGBSBTMReBCBMR,1
HBOHBSTLHBPQHBMHBGDMaOBGDMBEBLBCCPQBGBCBSBTMRBGBCBMeBMR,0
HBOHBSTLHBPQHBMHBGDMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,1
HBOHBSTLHBPQHBMHBGDMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,1
HBOHBSTLHBPQHBGDMaOHBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,1
HBOHBSTLHBPQHBSBTGQBRMHBMHBMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,0
HBOHBSTLHBPQHBGDMHBMaOHBGDMBEGBMBCCPQBGBCBSBTMReBGBCBMR,1
HBOHBSTLHBPQHBSBTGQBRMHBMHBMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,0
HBOHBSTLHBPQHBSBTGQBRMHBMHBMHBMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,0
HBOHBSTLHBPQBSBTGQBRMHBMHBMHBMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,0
HBOHBSTLHBPQHBSBTGQBRMHBMHBMHBMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,0
HBOHBSTLHBPQHBGDMHBMaOHBGDMBEGBMBCCPQBGBCBSBTMRBGBCBMeBR,0
HBOHBSTLHBPQHBGDMHBMaOHBGDMBEGBMBCCPQBGBCBSBTMRBGBCBMeBR,0
HBOHBSTLHBPQHBGDMHBMaOHBGDMBEGBMBCCPQBGBCBSBTMRBGBCBMeBMR,1
HBOHBSTLHBPQHBGDMaOHGBGDMBEBMBCCPQBGBGBSBTMRBGAMeBMR,0
HBOHBSTLHBPQHBGDMaOHGBGDMBEBMBCCPQBGBGBSBTMRBGAMeBMR,0
HBOHBSTLHBPQHBGDMaOHGBGDMBEBMBCCPQBGBGBSBTMRBGAMeBMR,0
HBOHBSTLHBPQHBGDMaOHGBGDMBEGBMBCCPQBGBGBSBTMRBGAMeBMR,0
HBOHBSTLHBPQHBGDMHBMaOHGBGDMBEGBMBCCPQBGBGBSBTMRBGAMeBMR,0
HBOHBSTLHBPQHBGDMHBGDMaOHGBGDMBEGBMBCCPQBGBGBSBTMRBGAMeBMR,0
HBOHBSTLHBPQHBSBTGQBRMHBMHBMHBMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,0
HBOHBSTLHBPQHBMHBGDMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,1
HBOHBSTLHBPQHBSBTGQBRMHBMHBMHBMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,0
HBOHBSTLHBPQHBMHBMHBMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,0
HBOHBSTLHBPQHBMHBMHBMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,1
HBOHBSTLHBPQHBGDMHBMHBMaOBGDMBEBMBCCPQBGBCBSBTMRBGBCBMeBMR,1
HBOHBSTLHBPQHBGDMHBGDMaOHGBGDMBEGBMBCCPQBGBCBSBTMRBGAMeBMR,0
HBOHBSTLHBPQHBGDMHBGDMaOHGBGDMBEGBMBCCPQBGBCBSBTMRBGAMeBMR,0
HBOHBSTLHBPQHBMHBGDMaOHGBGDMBEGBMBCCPQBGBCBSBTMRBGAMeBMR,0
HBOHBSTLHBPQHBGDMHBGDMaOHGBGDMBEGBMBCCPQBGBCBSBTMRBGAMeBMR,0
